time_step,Date,Time,Millitm,{::[MRT_11111]Program:MainProgram.Applicator_Chamber1_Temp},{::[MRT_11111]Program:MainProgram.Applicator_Chamber2_Temp},{::[MRT_11111]Program:MainProgram.Applicator_Chamber3_Temp},{::[MRT_11111]Program:MainProgram.Condenser_1_Inlet_Temp},{[MRT_11111]Condenser_1_GasPressure_Temp},{[MRT_11111]Condenser_2_GasPressure_Temp},{[MRT_11111]Condenser_3_GasPressure_Temp},{::[MRT_11111]Program:MainProgram.Condenser_2_Inlet_Temp},{::[MRT_11111]Program:MainProgram.Condenser_3_Inlet_Temp},{::[MRT_11111]Program:MainProgram.Applicator_Chamber1_Pressure},{::[MRT_11111]Program:MainProgram.Applicator_Chamber2_Pressure},{::[MRT_11111]Program:MainProgram.Applicator_Chamber3_Pressure},{::[MRT_11111]Program:MainProgram.Material_Height},{::[MRT_11111]Program:MainProgram.Applicator_Belt_Conveyor_Actual_HZ},{::[MRT_11111]Program:MainProgram.Oil_At_Infeed_Manifold_Temp},{::[MRT_11111]Program:MainProgram.Oil_At_Return_Manifold_Temp},{[MRT_11111]Oil_At_Exit_Screw_Manifold_Pressure},{::[MRT_11111]Program:MainProgram.Infeed_Screw_Cooling_Water_Temp},{::[MRT_11111]Program:MainProgram.Infeed_Screw_Cooling_Water_Flow},{::[MRT_11111]Program:MainProgram.Cooling_Water_Gen1_Temp},{::[MRT_11111]Program:MainProgram.Cooling_Water_Gen2_Temp}
176,-0.08865457,0.028694984,22.100208,13.324364,13.728368,14.079609,14.478745,15.067011,14.914625,15.244282,14.709234,15.927656,-2.8935378,-2.8813868,-3.0299785,4.8823123,-0.022619251,14.724869,14.782996,19.625751,-0.023228988,-0.13359892,15.317597,15.158611
177,-0.088654555,0.028694984,22.100208,13.324364,13.728368,14.07961,14.478745,15.067011,14.914625,15.24428,14.709234,15.927656,-2.8935378,-2.8813868,-3.0299785,4.8823133,-0.022619262,14.724869,14.782996,19.625751,-0.02322895,-0.13359897,15.317596,15.15861
178,-0.088654585,0.028694954,22.10021,13.324364,13.728369,14.07961,14.478745,15.067011,14.914625,15.24428,14.709234,15.927656,-2.8935378,-2.8813868,-3.0299785,4.8823123,-0.022619255,14.724869,14.782995,19.625751,-0.023228988,-0.13359895,15.317596,15.158611
179,-0.088654585,0.028694954,22.100208,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.244282,14.709233,15.927656,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619262,14.724869,14.782996,19.625751,-0.02322898,-0.13359892,15.317597,15.158611
180,-0.088654555,0.028695013,22.100208,13.324364,13.728369,14.07961,14.478746,15.067011,14.914626,15.244282,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.022619277,14.724869,14.782996,19.625753,-0.023228958,-0.13359895,15.317597,15.158611
181,-0.08865457,0.028694984,22.10021,13.324364,13.728368,14.07961,14.478745,15.067011,14.914625,15.244282,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619233,14.724869,14.782996,19.625751,-0.023228943,-0.13359897,15.317597,15.158611
182,-0.088654585,0.028694984,22.10021,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709234,15.927655,-2.8935378,-2.8813868,-3.0299785,4.882313,-0.022619285,14.724869,14.782996,19.625751,-0.023228988,-0.13359897,15.317597,15.15861
183,-0.088654555,0.028694924,22.100208,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709234,15.927655,-2.8935375,-2.8813868,-3.0299785,4.8823123,-0.022619262,14.724869,14.782996,19.625751,-0.023229025,-0.13359894,15.317597,15.15861
184,-0.08865454,0.028694954,22.100208,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709234,15.927655,-2.8935375,-2.8813868,-3.0299785,4.8823123,-0.022619255,14.724869,14.782996,19.625751,-0.023228996,-0.13359894,15.317597,15.15861
185,-0.08865454,0.028694954,22.100208,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709234,15.927655,-2.8935375,-2.8813868,-3.0299785,4.8823123,-0.022619255,14.724869,14.782996,19.625751,-0.023228988,-0.13359894,15.317596,15.15861
186,-0.088654555,0.028694984,22.100208,13.324364,13.728368,14.07961,14.478746,15.067011,14.914625,15.244282,14.709233,15.927655,-2.8935378,-2.8813868,-3.0299785,4.8823123,-0.022619262,14.724869,14.782996,19.625753,-0.023228973,-0.13359897,15.317596,15.15861
187,-0.0886546,0.028694984,22.100208,13.324364,13.728369,14.07961,14.478746,15.067011,14.914625,15.24428,14.709233,15.927655,-2.8935375,-2.8813868,-3.0299785,4.8823123,-0.022619277,14.724869,14.782996,19.625751,-0.023228966,-0.13359895,15.317597,15.15861
188,-0.08865457,0.028694984,22.100208,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709233,15.927655,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.02261924,14.724869,14.782995,19.625751,-0.023228988,-0.13359897,15.317597,15.15861
189,-0.088654585,0.028694954,22.10021,13.324364,13.728368,14.07961,14.478746,15.067011,14.914626,15.24428,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619262,14.724869,14.782996,19.625751,-0.023228988,-0.13359897,15.317596,15.15861
190,-0.088654585,0.028694984,22.100208,13.324364,13.728368,14.079609,14.478745,15.067011,14.914625,15.244282,14.709233,15.927655,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619277,14.724869,14.782996,19.625751,-0.023228996,-0.13359894,15.317597,15.158611
191,-0.08865451,0.028695013,22.10021,13.324364,13.728369,14.07961,14.478746,15.067011,14.914625,15.244282,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.022619262,14.724869,14.782996,19.625753,-0.023228973,-0.13359895,15.317598,15.158611
192,-0.0886546,0.028695013,22.100208,13.324364,13.728369,14.079609,14.4787445,15.067011,14.914625,15.244282,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.022619274,14.724869,14.782996,19.625751,-0.023228928,-0.13359892,15.317597,15.158611
193,-0.08865457,0.028694984,22.10021,13.324364,13.728368,14.07961,14.478746,15.067011,14.914625,15.24428,14.709234,15.927656,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619255,14.724869,14.782996,19.625753,-0.023228966,-0.13359895,15.317597,15.158612
194,-0.088654585,0.028694984,22.100208,13.324364,13.728368,14.079609,14.478745,15.067011,14.914626,15.244282,14.709233,15.927656,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619266,14.724869,14.782996,19.625751,-0.02322898,-0.13359892,15.317597,15.158611
195,-0.088654555,0.028695013,22.100208,13.324364,13.728369,14.07961,14.478746,15.067011,14.914626,15.244282,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.02261927,14.724869,14.782996,19.625753,-0.023228973,-0.13359895,15.317598,15.158611
196,-0.088654555,0.028694954,22.10021,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619262,14.724869,14.782996,19.625751,-0.023228966,-0.13359897,15.317598,15.158611
197,-0.08865457,0.028694924,22.100208,13.324364,13.728368,14.079609,14.4787445,15.067011,14.914625,15.24428,14.709233,15.927655,-2.893538,-2.8813868,-3.0299785,4.8823123,-0.022619292,14.724869,14.782996,19.625751,-0.02322901,-0.13359894,15.317597,15.15861
198,-0.08865457,0.028694984,22.100208,13.324364,13.728368,14.079609,14.478745,15.067011,14.914625,15.24428,14.709234,15.927655,-2.8935378,-2.8813868,-3.0299785,4.8823123,-0.022619255,14.724869,14.782996,19.625751,-0.023229003,-0.13359895,15.317596,15.15861
199,-0.08865457,0.028694984,22.100208,13.324364,13.728368,14.079609,14.478746,15.067011,14.914625,15.24428,14.709233,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.02261927,14.724869,14.782996,19.625753,-0.023228966,-0.13359894,15.317596,15.15861
